id,name,state,suburb,postcode,address,latitude,longitude,phone,website,provider,serviceType,homeHD,peritoneal,transplant,paediatric,indigenousSupport,wheelchair,notes,status
qld-bundaberg-hospital,Bundaberg Hospital,QLD,Bundaberg West,4670,"271 Bourbong St, Bundaberg Central QLD 4670, Australia",-24.869324000000002,152.3357948,(07) 4150 2222,https://www.widebay.health.qld.gov.au/hospitals-and-health-centres/bundaberg-hospital,,,,,,,,,,
qld-cairns-hospital,Cairns Hospital,QLD,Cairns North,4870,"178 Lake St, Cairns North QLD 4870, Australia",-16.9116543,145.7673,,https://www.cairns-hinterland.health.qld.gov.au/hospitals-and-health-centres/cairns-hospital,,,,,,,,,,
qld-cairns-private-hospital-,Cairns Private Hospital ,QLD,,,"1 Upward St, Cairns City QLD 4870, Australia",-16.9151602,145.7707587,(07) 4052 5200,http://www.cairnsph.com.au/,,,,,,,,,,
qld-chermside-dialysis-centre,Chermside Dialysis Centre,QLD,,,,,,,,,,,,,,,,,
qld-child-and-adolescent-renal-service-,Child and Adolescent Renal Service ,QLD,,,"Corner Butterfield Street and, Bowen Bridge Rd, Herston QLD 4006, Australia",-27.4464737,153.02825570000002,(07) 3646 8111,https://metronorth.health.qld.gov.au/rbwh/,,,,,,,,,,
qld-gold-coast-private-hospital,Gold Coast Private Hospital,QLD,,,"Harbour Point, Ste 5, Level 1/8 Santa Barbara Rd, Hope Island QLD 4212, Australia",-27.8688857,153.3491104,(07) 5530 0770,https://goldcoastprivatehospital.com.au/services/specialist-suites,,,,,,,,,,
qld-gold-coast-university-hospital,Gold Coast University Hospital,QLD,Southport,4215,"1 Hospital Blvd, Southport QLD 4215, Australia",-27.959235,153.3823395,1300 744 284,https://www.goldcoast.health.qld.gov.au/hospitals-and-centres/gold-coast-university-hospital,,,,,,,,,,
qld-henry-dalziel-dialysis-clinic---greenslopes,Henry Dalziel Dialysis Clinic - Greenslopes,QLD,,,"Newdegate St, Greenslopes QLD 4120, Australia",-27.512754299999997,153.0461051,(07) 3394 7111,http://www.greenslopesprivate.com.au/,,,,,,,,,,
qld-hervey-bay-hospital,Hervey Bay Hospital,QLD,Urraween,4655,"Cnr Nissen Street, &, 141/169 Urraween Rd, Pialba QLD 4655, Australia",-25.2986132,152.8210861,(07) 4325 6666,https://www.health.qld.gov.au/widebay/our-services-and-facilities/hervey-bay,,,,,,,,,,
qld-ipswich-hospital,Ipswich Hospital,QLD,,,"Chelmsford Ave, Ipswich QLD 4305, Australia",-27.619309599999998,152.7592757,(07) 3810 1111,https://www.westmoreton.health.qld.gov.au/hospitals-and-health-centres/ipswich-hospital,,,,,,,,,,
qld-john-flynn-private-hospital,John Flynn Private Hospital,QLD,,,"42 Inland Dr, Tugun QLD 4224, Australia",-28.1535176,153.4887366,(07) 5598 9000,http://www.johnflynnprivate.com.au/,,,,,,,,,,
qld-logan-hospital,Logan Hospital,QLD,,,,,,,,,,,,,,,,,
qld-mackay-base-hospital,Mackay Base Hospital,QLD,,,"475 Bridge Rd, Mackay QLD 4740, Australia",-21.146536599999997,149.1552332,(07) 4885 6000,http://www.mackay.health.qld.gov.au/,,,,,,,,,,
qld-mater-hospital--brisbane-,"Mater Hospital, Brisbane ",QLD,,,"Level 5 Raymond Terrace, South Brisbane QLD 4101, Australia",-27.485605,153.0276366,(07) 3163 1918,http://www.matermothers.org.au/,,,,,,,,,,
qld-mater-hospital--townsville,"Mater Hospital, Townsville",QLD,,,,,,,,,,,,,,,,,
qld-morayfield-b-braun-renal-care-centre,Morayfield B.Braun Renal Care Centre,QLD,,,,,,,,,,,,,,,,,
qld-mount-isa-base-hospital,Mount Isa Base Hospital,QLD,,,"30 Camooweal St, Mount Isa City QLD 4825, Australia",-20.730655,139.4931492,(07) 4744 4444,https://www.health.qld.gov.au/services/northwest/,,,,,,,,,,
qld-nambour-selangor-private-hospital,Nambour Selangor Private Hospital,QLD,,,"62 Netherton St, Nambour QLD 4560, Australia",-26.619625199999998,152.9569158,(07) 5459 7444,http://www.nambourselangor.com.au/,,,,,,,,,,
qld-north-lakes-dialysis-centre,North Lakes Dialysis Centre,QLD,,,"9 Endeavour Blvd, North Lakes QLD 4509, Australia",-27.2392016,153.0209777,,,,,,,,,,,,
qld-north-qld-kidney-transplant-service-,North QLD Kidney Transplant Service ,QLD,,,,,,,,,,,,,,,,,
qld-princess-alexandra-hospital,Princess Alexandra Hospital,QLD,,,"199 Ipswich Rd, Woolloongabba QLD 4102, Australia",-27.4988894,153.0332113,,,,,,,,,,,,
qld-qld-kidney-transplant-service,QLD Kidney Transplant Service,QLD,,,"501 Stanley St, South Brisbane QLD 4101, Australia",-27.484042199999998,153.0263687,(07) 3068 1111,http://www.childrens.health.qld.gov.au/home/lcch/,,,,,,,,,,
qld-redlands-hospital,Redlands Hospital,QLD,,,"21 Weippin St, Cleveland QLD 4163, Australia",-27.540454099999998,153.2520892,(07) 3488 3111,https://metrosouth.health.qld.gov.au/redland-hospital,,,,,,,,,,
qld-rockhampton-hospital,Rockhampton Hospital,QLD,,,"2 Canning St, Rockhampton City QLD 4700, Australia",-23.379988800000003,150.4949437,(07) 4920 6211,https://www.cq.health.qld.gov.au/hospitals-and-health-centres/rockhampton-hospital,,,,,,,,,,
qld-royal-brisbane-and-women-s-hospital,Royal Brisbane and Women’s Hospital,QLD,,,"Corner Butterfield Street and, Bowen Bridge Rd, Herston QLD 4006, Australia",-27.4464737,153.02825570000002,(07) 3646 8111,https://metronorth.health.qld.gov.au/rbwh/,,,,,,,,,,
qld-st-andrew-s-ipswich-private-hospital,St Andrew’s Ipswich Private Hospital,QLD,,,"12 Roderick St, Ipswich QLD 4305, Australia",-27.6188827,152.7633083,(07) 3816 9999,http://www.standrewsipswich.com.au/,,,,,,,,,,
qld-st-andrew-s-toowoomba-b-braun-s-dialysis-clinic,St Andrew’s Toowoomba B.Braun’s Dialysis Clinic,QLD,,,"St Andrews Hospital, North St, Rockville QLD 4350, Australia",-27.5396662,151.934464,(07) 4646 3000,http://www.sath.org.au/,,,,,,,,,,
qld-sunshine-coast-university-hospital,Sunshine Coast University Hospital,QLD,,,"6 Doherty St, Birtinya QLD 4575, Australia",-26.7442419,153.1145603,(07) 5202 0000,https://www.sunshinecoast.health.qld.gov.au/hospitals-and-health-centres/sunshine-coast-university-hospital,,,,,,,,,,
qld-sunshine-coast-university-private-hospital-,Sunshine Coast University Private Hospital ,QLD,,,"6 Doherty St, Birtinya QLD 4575, Australia",-26.7442419,153.1145603,(07) 5202 0000,https://www.sunshinecoast.health.qld.gov.au/hospitals-and-health-centres/sunshine-coast-university-hospital,,,,,,,,,,
qld-the-wesley-hospital-brisbane,The Wesley Hospital Brisbane,QLD,,,"451 Coronation Dr, Auchenflower QLD 4066, Australia",-27.477755499999997,152.9978399,(07) 3232 7000,http://wesley.com.au/?utm_medium=organic&utm_source=gmb&utm_campaign=weshos&utm_content=c,,,,,,,,,,
qld-toowoomba-hospital,Toowoomba Hospital,QLD,,,"Private Mail Bag 2, Pechey St, Toowoomba City QLD 4350, Australia",-27.5698789,151.9464778,(07) 4616 6000,https://www.darlingdowns.health.qld.gov.au/hospitals-and-health-centres/toowoomba-hospital,,,,,,,,,,
qld-torres---cape-kidney-health,Torres & Cape Kidney Health,QLD,,,"407 John Evans Dr, Trunding QLD 4874, Australia",-12.640929799999999,141.8668869,(07) 4082 3900,https://www.health.qld.gov.au/services/torres-cape/capeyork_weipa_hosp,,,,,,,,,,
qld-townsville-university-hospital,Townsville University Hospital,QLD,,,"100 Angus Smith Dr, Douglas QLD 4814, Australia",-19.3201821,146.7621782,(07) 4433 1111,https://www.townsville.health.qld.gov.au/,,,,,,,,,,
nsw-bathurst-base-hospital,Bathurst Base Hospital,NSW,,,,,,,,,,,,,,,,,
nsw-coffs-harbour-hospital,Coffs Harbour Hospital,NSW,,,"345 Pacific Hwy, Coffs Harbour NSW 2450, Australia",-30.317263499999996,153.0935308,(02) 6656 7000,http://mnclhd.health.nsw.gov.au/about/hospitals/coffs-harbour-health-campus/,,,,,,,,,,
nsw-concord-repatriation-general-hospital,Concord Repatriation General Hospital,NSW,,,"Hospital Rd, Concord NSW 2139, Australia",-33.8371192,151.0941647,(02) 9767 5000,https://www.slhd.nsw.gov.au/concord/,,,,,,,,,,
nsw-dubbo-base-hospital,Dubbo Base Hospital,NSW,,,"Myall St, Dubbo NSW 2830, Australia",-32.239117,148.6211451,(02) 6809 6809,,,,,,,,,,,
nsw-gosford-hospital,Gosford Hospital,NSW,,,"75 Holden St, Gosford NSW 2250, Australia",-33.4201791,151.339506,(02) 4320 2111,http://www.cclhd.health.nsw.gov.au/,,,,,,,,,,
nsw-gregory-hills-b-braun-renal-care-centre,Gregory Hills B.Braun Renal Care Centre,NSW,,,,,,,,,,,,,,,,,
nsw-john-hunter-hospital,John Hunter Hospital,NSW,,,"Lookout Rd, New Lambton Heights NSW 2305, Australia",-32.9225887,151.6925059,(02) 4921 3000,https://www.nsw.gov.au/departments-and-agencies/nsw-health/service-directory/john-hunter-hospital,,,,,,,,,,
nsw-lismore-base-hospital,Lismore Base Hospital,NSW,,,"60 Uralba St, Lismore NSW 2480, Australia",-28.8093549,153.2917834,(02) 6624 0200,https://nnswlhd.health.nsw.gov.au/hospitals/lismore-base-hospital,,,,,,,,,,
nsw-liverpool-private-dialysis-centre,Liverpool Private Dialysis Centre,NSW,,,"Goulburn St, Liverpool NSW 2170, Australia",-33.919875399999995,150.9306417,(02) 8738 3000,https://www.swslhd.health.nsw.gov.au/liverpool/contactus.html,,,,,,,,,,
nsw-manning-rural-hospital,Manning Rural Hospital,NSW,,,"26 York St, Taree NSW 2430, Australia",-31.910348000000003,152.455185,(02) 6592 9111,https://www.hnehealth.nsw.gov.au/facilities/hospitals/manning-hospital,,,,,,,,,,
nsw-mater-hospital--north-sydney,"Mater Hospital, North Sydney",NSW,,,"25 Rocklands Rd, Wollstonecraft NSW 2065, Australia",-33.8314588,151.2017751,(02) 9900 7300,https://www.svph.org.au/hospitals/mater,,,,,,,,,,
