name,address,haemodialysis,peritoneal,other,dialysis_type,state,latitude,longitude,website,phone
Armidale Hospital,"226 Rusden St, Armidale NSW 2350, Australia",1,0,0,maintenance,,-30.512038900000004,151.6548607,https://www.armidaleprivate.com.au/,(02) 6771 4000
Auburn Hospital,"18/20 Hargrave Rd, Auburn NSW 2144, Australia",1,0,0,maintenance,,-33.8609122,151.0324092,http://www.wslhd.health.nsw.gov.au/Auburn-Hospital,(02) 8759 3000
Ballina District Hospital,"78-92 Cherry St, Ballina NSW 2478, Australia",1,0,0,maintenance,,-28.863750699999997,153.5648755,https://nnswlhd.health.nsw.gov.au/about/hospitals/ballina-district-hospital/,(02) 6620 6400
Bankstown Lidcombe Hospital,"Eldridge Rd, Bankstown NSW 2200, Australia",1,0,0,maintenance,,-33.933042199999996,151.0207027,https://www.swslhd.health.nsw.gov.au/,(02) 9722 8000
Bathurst Health Service,"361 Howick St, West Bathurst NSW 2795, Australia",1,0,0,acute,,-33.4061491,149.5724713,https://www.service.nsw.gov.au/nswgovdirectory/bathurst-base-hospital,(02) 6330 5000
Blacktown Hospital,"Blacktown Hospital, Outpatient Clinic, Level 2 Blacktown Rd, Blacktown NSW 2148, Australia",1,0,0,maintenance,,-33.7759126,150.91654939999998,http://www.wslhd.health.nsw.gov.au/Blacktown-Mount-Druitt-Hospital/Blacktown-Mount-Druitt-Hospital,(02) 9881 8000
Bourke Multi Purpose Service,"26 Tarcoon St, Bourke NSW 2840, Australia",1,0,0,maintenance,,-30.0927312,145.94806269999998,https://www.nsw.gov.au/departments-and-agencies/wnswlhd/service-directory/bourke-health-service,(02) 6870 2600
Bowral and District Hospital,"97/103 Bowral St, Bowral NSW 2576, Australia",1,0,0,acute,,-34.484835499999996,150.4234368,https://www.swslhd.health.nsw.gov.au/bowral/,(02) 4861 0200
Brewarrina Multi Purpose Service,"56 Doyle St, Brewarrina NSW 2839, Australia",1,0,0,maintenance,,-29.961488700000004,146.8640098,https://www.nsw.gov.au/departments-and-agencies/wnswlhd/service-directory/brewarrina-health-service,(02) 6830 5000
Broken Hill Base and Health Service,"176 Thomas St, Broken Hill NSW 2880, Australia",1,0,0,maintenance,,-31.9475641,141.4556064,https://www.nsw.gov.au/departments-and-agencies/fwlhd/facilities/broken-hill-base-hospital,(08) 8080 1300
Campbelltown Hospital,"Therry Rd, Campbelltown NSW 2560, Australia",1,0,0,maintenance,,-34.0785815,150.8064283,https://www.swslhd.health.nsw.gov.au/ccq/,(02) 4634 3000
Canterbury Hospital,"575 Canterbury Rd, Campsie NSW 2194, Australia",1,0,0,acute,,-33.9195525,151.0985197,https://slhd.health.nsw.gov.au/canterbury,(02) 9787 0000
Cobar Health Service,"33 Woodiwiss Ave, Cobar NSW 2835, Australia",1,0,0,maintenance,,-31.507908299999997,145.8253387,https://wnswlhd.health.nsw.gov.au/,(02) 6879 9500
Coffs Harbour Base Hospital,"345 Pacific Hwy, Coffs Harbour NSW 2450, Australia",1,0,0,acute,,-30.317263499999996,153.0935308,http://mnclhd.health.nsw.gov.au/about/hospitals/coffs-harbour-health-campus/,(02) 6656 7000
